PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
3.5	-0.2	0		0	0	120		0.19	-1.81	-0.06		-24	-420	0		-11.43	-261.6	0		-12.57	-158.4	0
3.5	-0.2	0		0	0	140		0.5	-3.62	-0.06		-28	-490	0		-37.82	-517.7	0		9.82	27.7	0
3.5	-0.2	0		0	0	160		0.44	-3.44	-0.12		-32	-560	0		-32.99	-494.37	0		0.99	-65.63	0
3.5	-0.2	0		0	0	180		0.38	-3.31	-0.12		-36	-630	0		-25.62	-477.72	0		-10.38	-152.28	0
3.5	-0.2	0		0	0	200		0.56	-4.69	-0.12		-40	-700	0		-38.91	-673.23	0		-1.09	-26.77	0
3.5	-0.2	0		0	0	220		0.62	-4.69	-0.19		-44	-770	0		-49.38	-674.1	0		5.38	-95.9	0
3.5	-0.2	0		0	0	240		0.56	-4.62	-0.19		-48	-840	0		-41.46	-666.55	0		-6.54	-173.45	0
3.5	-0.2	0		0	0	260		0.75	-6.12	-0.25		-52	-910	0		-55.64	-882.66	0		3.64	-27.34	0
3.5	-0.2	0		0	0	280		0.88	-6.19	-0.25		-56	-980	0		-72.04	-888.67	0		16.04	-91.33	0
3.5	-0.2	0		0	0	300		0.81	-6.56	-1		-60	-1050	0		-84.16	-973.8	0		24.16	-76.2	0
3.5	-0.2	0		0	0	320		0.88	-7.44	-0.25		-64	-1120	0		-61.02	-1070.61	0		-2.98	-49.39	0
3.5	-0.2	0		0	0	340		0.94	-7.44	-0.25		-68	-1190	0		-69.49	-1069.07	0		1.49	-120.93	0
3.5	-0.2	0		0	0	360		0.94	-7.25	-0.25		-72	-1260	0		-71.15	-1041.78	0		-0.85	-218.22	0
3.5	-0.2	0		0	0	380		1.12	-9.12	-0.31		-76	-1330	0		-82.03	-1312.48	0		6.03	-17.52	0
